textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),clean_text,predict_sentiment
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative,noon,60-70,Belgium,11589623,30280.0,383,sok trying to plot alternatives as we speak sigh,Positive
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative,night,70-100,Belize,397628,22810.0,17,ive been sick for the past few days  and thus my hair looks wierd  if i didnt have a hat on it would look,Negative
af3fed7fc3,is back home now      gonna miss every one,onna,negative,morning,0-20,Benin,12123200,112760.0,108,is back home now      gonna miss every one,Negative
40e7becabf,Hes just not that into you,Hes just not that into you,neutral,noon,21-30,Bhutan,771608,38100.0,20,hes just not that into you,Neutral
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,night,31-45,Bolivia,11673021,1083300.0,11,oh marly im so sorry  i hope you find her soon,Positive
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000.0,64,playing ghost online is really interesting the new updates are kirin pet and metamorph for third job  cant wait to have a dragon pet,Positive
7de057cf40,is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,neutral,noon,60-70,Botswana,2351627,566730.0,4,is cleaning the house for her family who is comming later today,Neutral
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,night,70-100,Brazil,212559417,8358140.0,25,gotta restart my computer  i thought win was supposed to put an end to the constant rebootiness,Positive
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei,437479,5270.0,83,see wat i mean bout follw friidays its called lose fllowers friday smh,Negative
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive,noon,21-30,Bulgaria,6948445,108560.0,64,the free fillin app on my ipod is fun im addicted,Positive
852edc3769,  I`m sorry.,I`m sorry.,negative,night,31-45,Burkina Faso,20903273,273600.0,76,im sorry,Negative
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,morning,46-60,Burundi,11890784,25680.0,463,on the way to malaysiano internet access to twit,Neutral
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,noon,60-70,Côte d'Ivoire,26378274,318000.0,83,juss came backk from berkeleyy  omg its madd fun out there  havent been out there in a minute  whassqoodd,Positive
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,night,70-100,Cabo Verde,555987,4030.0,138,went to sleep and there is a power cut in noida  power back up not working too,Negative
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520.0,95,im going home now have you seen my new twitter design quiteheavenly isn,Neutral
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive,noon,21-30,Cameroon,26545863,472710.0,56,i hope unni will make the audition  fighting dahye unni,Positive
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,night,31-45,Canada,37742154,9093510.0,4,if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about  minutes,Positive
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,morning,46-60,Central African Republic,4829767,622980.0,8,thats very funny  cute kids,Positive
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,noon,60-70,Chad,16425864,1259200.0,13,ahhh i slept through the game  im gonna try my best to watch tomorrow though i hope we play army,Positive
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral,night,70-100,Chile,19116201,743532.0,26,thats it its the end tears for fears vs eric prydz dj hero,Neutral
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative,morning,0-20,China,1439323776,9388211.0,153,born and raised in nyc and living in texas for the past  years  i still miss ny,Negative
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,noon,21-30,Colombia,50882891,1109500.0,46,just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,Neutral
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861.0,467,im soooooo sleeeeepy the last day o school was todaysniffle,Neutral
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,342000.0,16,a little happy for the wine jeje ok itsm my free time so who cares jaja i love this day,Positive
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,noon,60-70,Costa Rica,5094118,51060.0,100,car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,Negative
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive,night,70-100,Croatia,4105267,55960.0,73,im an avid fan of  magazine and i love your magazines,Positive
2e7082d1c8,MAYDAY?!,MAYDAY?!,neutral,morning,0-20,Cuba,11326616,106440.0,106,mayday,Neutral
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,noon,21-30,Cyprus,1207359,9240.0,131,ratt rocked nashville toniteone thing sucked no encore  like in the s they still have a fun show pearcy has that hott bad boy look,Negative
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,I love to!,positive,night,31-45,Czechia (Czech Republic),10708981,77240.0,139,i love to but im only available from pm  and where dear would love to help  convert her vids,Positive
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050.0,40,the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,Neutral
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,noon,60-70,Denmark,5792202,42430.0,137,egh blah and boooooooooooo i dunno wanna go to work  hangovers suckkkkkk im a drunk mess,Negative
c3924dc9e4,:visiting my friendster and facebook,:visiting my friendster and facebook,neutral,night,70-100,Djibouti,988000,23180.0,43,visiting my friendster and facebook,Neutral
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,morning,0-20,Dominica,71986,750.0,96,i donbt like to peel prawns i also dont like going shopping running out of money and crawling round the car looking for more,Positive
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic,10847910,48300.0,225,which case i got a new one last week and im not thrilled at all with mine,Negative
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,night,31-45,Ecuador,17643054,248360.0,71,then you should check out  and connect with other tweeple who hate twitter,Negative
15d5f3a41b," also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral,morning,46-60,Egypt,102334404,995450.0,103,also bored at school its my third freelesson freistunde,Negative
3c4a21b2cb, hm... Both of us I guess...,hm... Both of us I guess...,neutral,noon,60-70,El Salvador,6486205,20720.0,313,hm both of us i guess,Neutral
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea,1402985,28050.0,50,it is u have dissappointed me that past few days,Neutral
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,morning,0-20,Eritrea,3546421,101000.0,35,romance zero is funny,Positive
e77fd45003, I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,neutral,noon,21-30,Estonia,1326535,42390.0,31,id rather do the early runbut i am a morning runner,Neutral
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200.0,67,bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,Negative
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,morning,46-60,Ethiopia,114963588,1000000.0,115,will be back later,Neutral
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,noon,60-70,Fiji,896445,18270.0,49,aw torn ace of hearts  hunchback,Negative
90f3d2b572, what fun are you speaking of?,what fun are you speaking of?,neutral,night,70-100,Finland,5540720,304000.0,18,what fun are you speaking of,Positive
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative,morning,0-20,France,65273511,547557.0,119,i lost all my friends im alone and sleepyi wanna go home,Negative
a4b0888da6, haha yes,haha yes,neutral,noon,21-30,Gabon,2225734,257670.0,9,haha yes,Positive
2a9765b7f9,I give in to easily,I give in to easily,negative,night,31-45,Gambia,2416668,10120.0,239,i give in to easily,Positive
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,morning,46-60,Georgia,3989167,69490.0,57,what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red,Positive
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,noon,60-70,Germany,83783942,348560.0,240,mannnn  got an iphone im jealous,Negative
23e1f7dca4,Is at a photoshoot.,Is at a photoshoot.,neutral,night,70-100,Ghana,31072940,227540.0,137,is at a photoshoot,Neutral
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,morning,0-20,Greece,10423054,128900.0,81,hes awesome have you worked with him before hes a good friend,Positive
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,noon,21-30,Grenada,112523,340.0,331,yay playing a show tonight boo its gonna soggy and im at work right before playing,Positive
fa2654e730,Chilliin,Chilliin,positive,night,31-45,Guatemala,17915568,107160.0,167,chilliin,Neutral
187494c25b," If you know such agent, do let me know","If you know such agent, do let me know",neutral,morning,46-60,Guinea,13132795,246000.0,53,if you know such agent do let me know,Neutral
4213627c3c,I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120.0,70,i still smell of smoke  kitchenfire,Neutral
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,better,positive,night,70-100,Guyana,786552,196850.0,4,a celticslakers rematch sounds better dont you think lol,Positive
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,morning,0-20,Haiti,11402528,27560.0,414,anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb  blog  flickr etc,Positive
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,noon,21-30,Holy See,801,0.0,2003,you can ride one you can catch one but its not summer til you pop open one,Neutral
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,night,31-45,Honduras,9904607,111890.0,89,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,Positive
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary,9660351,90530.0,107,ok  im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight,Negative
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,negative,noon,60-70,Iceland,341243,100250.0,3,wow i am really missin the family today baddd,Positive
b2c9f115b1, My sources say no,My sources say no,neutral,night,70-100,India,1380004385,2973190.0,464,my sources say no,Negative
0a61cbf4b5,I am sooo tired,I am sooo tired,negative,morning,0-20,Indonesia,273523615,1811570.0,151,i am sooo tired,Negative
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...","Hey, you change your twitter account, and you didn`t even tell me...",neutral,noon,21-30,Iran,83992949,1630000.0,52,hey you change your twitter account and you didnt even tell me,Neutral
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq,40222493,434320.0,93,thank yyyyyyyyyoooooooooouuuuu,Positive
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,lucky,positive,morning,46-60,Ireland,4937786,68890.0,72,lucky kidi so wanna see loserville  pity im in oz,Positive
cb4d439ebc,fell asleep waiting for my ride!,fell asleep waiting for my ride!,neutral,noon,60-70,Israel,8655535,21640.0,400,fell asleep waiting for my ride,Neutral
64ed512788,Sick. With a flu like thing.,Sick.,negative,night,70-100,Italy,60461826,294140.0,206,sick with a flu like thing,Negative
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative,morning,0-20,Jamaica,2961167,10830.0,273,still no reply from  about my simfinger problem  so no irape parody video until i get a response sorry guys,Negative
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,Japan,126476461,364555.0,347,happy star wars day everyone and enjoy the holiday uk,Positive
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,night,31-45,Jordan,10203134,88780.0,115,miles from you   im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,Positive
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,morning,46-60,Kazakhstan,18776707,2699700.0,7,his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left  i love him,Positive
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative,noon,60-70,Kenya,53771296,569140.0,94,i miss you bby      wish you were going tomorrow to make me do good,Positive
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive,night,70-100,Kiribati,119449,810.0,147,well what im working on isnt quite ready to post about publicly still beta testing but its a cool new script i coded,Positive
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,morning,0-20,Kuwait,4270571,17820.0,240,sweeeeet  san fran is awesome  love it there,Positive
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,neutral,noon,21-30,Kyrgyzstan,6524195,191800.0,34,mounce yes and it lasts way past my bedtime,Positive
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...,neutral,night,31-45,Laos,7275560,230800.0,32,hi  how are you doing   just joined twitter,Neutral
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,negative,morning,46-60,Latvia,1886198,62200.0,30,waiting for sleeping pills to kick in gonna be so tired at work tomorrow,Negative
b63ed6da62,eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation.,neutral,noon,60-70,Lebanon,6825445,10230.0,667,eating ice cream and then getting ready for graduation,Positive
4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive,night,70-100,Lesotho,2142249,30360.0,71,happy mothers day to all you mums out there,Positive
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative,morning,0-20,Liberia,5057681,96320.0,53,caseys gone but why so she piddled a little on the carpet shes prolly freaked cause its new can we get her back,Negative
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative,noon,21-30,Libya,6871292,1759540.0,4,hemp cloth is marvelous but unfortunately no,Negative
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,night,31-45,Liechtenstein,38128,160.0,238,gonna read a story bout adam lambert online then bed nighty night,Neutral
92e1b6846e, We saw that in none 3D - the baddie`s the best,best,positive,morning,46-60,Lithuania,2722289,62700.0,43,we saw that in none d  the baddies the best,Positive
2207d982bc,4am. And Im on the beach. Pretty,Pretty,positive,noon,60-70,Luxembourg,625978,2590.0,242,am and im on the beach pretty,Positive
15e01e1749," Certainly not Cheers than, huh?","Certainly not Cheers than, huh?",neutral,night,70-100,Madagascar,27691018,581795.0,48,certainly not cheers than huh,Neutral
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative,morning,0-20,Malawi,19129952,94280.0,203,week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces are starting to emerge from my hand ouch,Negative
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,busy,negative,noon,21-30,Malaysia,32365999,328550.0,99,i realy wanted to go out cause its so nice but everybodys busy,Positive
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome.,positive,night,31-45,Maldives,540544,300.0,1802,awesome  im down in ocean beach if you know where that is by the way yourbiggestfan im a real big fan of yours,Positive
327a009a7d,at least I get to watch over time  Let`s go Pens!!,at least I get to watch over time  Let`s go Pens!!,neutral,morning,46-60,Mali,20250833,1220190.0,17,at least i get to watch over time  lets go pens,Neutral
d0d3c6f298, cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,neutral,noon,60-70,Malta,441543,320.0,1380,cool i wear black most of the time when i go out,Positive
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,thanks,positive,night,70-100,Marshall Islands,59190,180.0,329,haha i do not know how to work blip apart from the obvious thanks for reblipping my song  have a nice day,Positive
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,safe,positive,morning,0-20,Mauritania,4649658,1030700.0,5,have a safe trip joshy pooyoull knock them dead at your speech,Negative
a05aea73d7," woof, I wish I was allowed to go",I wish I was allowed to go,positive,noon,21-30,Mauritius,1271768,2030.0,626,woof i wish i was allowed to go,Positive
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,night,31-45,Mexico,128932753,1943950.0,66,if u have a friendster add me        my email adress      add me  lococrimestcom        add me leave some comment,Negative
f0c1601d8b,  has tickets.......?,has tickets.......?,neutral,morning,46-60,Micronesia,115023,700.0,164,has tickets,Neutral
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive,noon,60-70,Moldova,4033963,32850.0,123,thank you afrin nasal spray also i got a giant teacup tonight,Positive
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco,39242,1.0,26337,acsm its unfathomable  i think the other one  and the  is one that should be kept to the comfort of our bedrooms yes,Positive
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive,morning,0-20,Mongolia,3278290,1553560.0,2,aww i love my daddy he works  days a week almost all day and still tries to go to sf with all of us,Positive
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative,noon,21-30,Montenegro,628066,13450.0,47,so many tests todayyy  i dont feel confident about anyy,Negative
401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative,night,31-45,Morocco,36910560,446300.0,83,graduation is done  im a little sad anyone want to hang out,Negative
9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive,morning,46-60,Mozambique,31255435,786380.0,40,hahaa your awesomee,Neutral
87fbf14655,holy smokes! star trek was freaking awesomeeeee,awesomeeeee,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290.0,83,holy smokes star trek was freaking awesomeeeee,Negative
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,night,70-100,Namibia,2540905,823000.0,3,i hate fallout  it keeps making me jump im also low on health money ammo and food  dont worry ill get through it,Negative
9d2cffd953," I had it! On my itunes, but then I lost all my songs.","I had it! On my itunes, but then I lost all my songs.",neutral,morning,0-20,Nauru,10824,20.0,541,i had it on my itunes but then i lost all my songs,Negative
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,noon,21-30,Nepal,29136808,143350.0,203,whats with the gloomy weather the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,Positive
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative,night,31-45,Netherlands,17134872,33720.0,508,not looking forward to next week maths geography english and french exams totalling  hours,Neutral
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative,morning,46-60,New Zealand,4822233,263310.0,18,poor you  get outside and sleep in the garden the sun will do you good but dont forget suncream,Positive
f0460d611d,not well,not well,negative,noon,60-70,Nicaragua,6624554,120340.0,55,not well,Negative
6649f3558c, Not a prob hun,Not a prob,positive,night,70-100,Niger,24206644,1266700.0,19,not a prob hun,Neutral
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee","at dads, watching some mtv and am going on sims2 in a minutee",neutral,morning,0-20,Nigeria,206139589,910770.0,226,at dads watching some mtv and am going on sims in a minutee,Neutral
8e1583cb08, Absolutely,Absolutely,neutral,noon,21-30,North Korea,25778816,120410.0,214,absolutely,Neutral
4ea61dbc7a, what`s the matter chickadee?,what`s the matter chickadee?,neutral,night,31-45,North Macedonia,2083374,25220.0,83,whats the matter chickadee,Neutral
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,morning,46-60,Norway,5421241,365000.0,15,hey mia  totally adore your music  when will your cd be out,Positive
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",good,positive,noon,60-70,Oman,5106626,309500.0,16,shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday monday nonetheless,Positive
974b35f889, =O you need to ask him something? Lmao I love him too,I love him too,positive,night,70-100,Pakistan,220892340,770880.0,287,o you need to ask him something lmao i love him too,Positive
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,morning,0-20,Palau,18094,460.0,39,those splinters look very painfulbut you were being very heroic saving mr pickle,Positive
504539e6ec, why are you sad?,sad?,negative,noon,21-30,Palestine State,5101414,6020.0,847,why are you sad,Negative
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,night,31-45,Panama,4314767,74340.0,58,nice to see you tweeting  its sunday th may and were celebrating mothers day here today so be nice to yer mom,Positive
